date,gini
2017-11-11,8.444372383625843e-06
2017-11-12,8.444347531098841e-06
2017-11-13,8.444582964894583e-06
2017-11-14,8.444955947368023e-06
2017-11-15,8.444831326138712e-06
2017-11-16,8.44478789032774e-06
2017-11-17,8.444694585514919e-06
2017-11-18,8.444953985503675e-06
2017-11-19,8.44476428843623e-06
2017-11-20,8.444685900090139e-06
2017-11-21,8.444700824780207e-06
2017-11-22,8.444565496747047e-06
2017-11-23,8.444412726820418e-06
2017-11-24,8.444177363894114e-06
2017-11-25,8.444240499750874e-06
2017-11-26,8.444182871062283e-06
2017-11-27,8.44407483222963e-06
2017-11-28,8.444338095973223e-06
2017-11-29,8.444445091346974e-06
2017-11-30,8.445663021294086e-06
2017-12-01,8.445609634243423e-06
2017-12-02,8.445412682574585e-06
2017-12-03,8.446812473991522e-06
2017-12-04,8.446571472792038e-06
2017-12-05,8.446355920988515e-06
2017-12-06,8.445799567868317e-06
2017-12-07,8.445644814580045e-06
2017-12-08,8.44832858969321e-06
2017-12-09,8.451541014005564e-06
2017-12-10,8.45188555481336e-06
2017-12-11,8.452370612807655e-06
2017-12-12,8.452327545173393e-06
2017-12-13,8.452611112420497e-06
2017-12-14,8.452593743168773e-06
2017-12-15,8.452453191197253e-06
2017-12-16,8.452289104365185e-06
2017-12-17,8.45217606791722e-06
2017-12-18,8.452253983524912e-06
2017-12-19,8.45256230222226e-06
2017-12-20,8.452427796853092e-06
2017-12-21,8.452149432478657e-06
2017-12-22,8.452142021096714e-06
2017-12-23,8.452085556769775e-06
2017-12-24,8.45197638049989e-06
2017-12-25,8.451817053949726e-06
2017-12-26,8.451678632193627e-06
2017-12-27,8.451610559627487e-06
2017-12-28,8.451486764225689e-06
2017-12-29,8.451313358537958e-06
2017-12-30,8.45111338928663e-06
2017-12-31,8.45098459776634e-06
2018-01-01,8.450880604818619e-06
2018-01-02,8.450678583053423e-06
2018-01-03,8.450525169801278e-06
2018-01-04,8.45024146968144e-06
2018-01-05,8.450054232277022e-06
2018-01-06,8.449620857767129e-06
2018-01-07,8.449399712994521e-06
2018-01-08,8.448995614389375e-06
2018-01-09,8.449211986432585e-06
2018-01-10,8.448937716548444e-06
2018-01-11,8.448607370156408e-06
2018-01-12,8.44831482983772e-06
2018-01-13,8.448009582195193e-06
2018-01-14,8.447744410863093e-06
2018-01-15,8.447445616535888e-06
2018-01-16,8.447240268673134e-06
2018-01-17,8.447291365261264e-06
2018-01-18,8.447163430060484e-06
2018-01-19,8.447118082629689e-06
2018-01-20,8.446892978264357e-06
2018-01-21,8.447193617630393e-06
2018-01-22,8.44690297715439e-06
2018-01-23,8.446634550759462e-06
2018-01-24,8.446345932112493e-06
2018-01-25,8.446118271676908e-06
2018-01-26,8.445781827951303e-06
2018-01-27,8.44552556855069e-06
2018-01-28,8.445218988356143e-06
2018-01-29,8.44496177961271e-06
2018-01-30,8.444686718562109e-06
2018-01-31,8.444405976436585e-06
2018-02-01,8.444266212215467e-06
2018-02-02,8.44411770679691e-06
2018-02-03,8.443895413576705e-06
2018-02-04,8.443878742867587e-06
2018-02-05,8.443925721760104e-06
2018-02-06,8.443893734363633e-06
2018-02-07,8.443734502209629e-06
2018-02-08,8.443703034770301e-06
2018-02-09,8.443525293966775e-06
2018-02-10,8.443221358788562e-06
2018-02-11,8.442945246565382e-06
2018-02-12,8.442750928581112e-06
2018-02-13,8.4425869390562e-06
2018-02-14,8.442483597799663e-06
2018-02-15,8.442260513702261e-06
2018-02-16,8.442371382702526e-06
2018-02-17,8.442172313789188e-06
2018-02-18,8.441975225220895e-06
2018-02-19,8.44180054939767e-06
2018-02-20,8.441652137406469e-06
2018-02-21,8.441502852667459e-06
2018-02-22,8.44136956496698e-06
2018-02-23,8.441324535821911e-06
2018-02-24,8.44120964450477e-06
2018-02-25,8.441077596254947e-06
2018-02-26,8.440960633107597e-06
2018-02-27,8.440742532745477e-06
2018-02-28,8.440642446877761e-06
2018-03-01,8.44049672816849e-06
2018-03-02,8.44045565453432e-06
2018-03-03,8.440369008946164e-06
2018-03-04,8.440268789360883e-06
2018-03-05,8.440209090577664e-06
2018-03-06,8.440164401587523e-06
2018-03-07,8.440057619620998e-06
2018-03-08,8.439875177430435e-06
2018-03-09,8.439771097295169e-06
2018-03-10,8.439652951512088e-06
2018-03-11,8.43949072642264e-06
2018-03-12,8.439349743169162e-06
2018-03-13,8.439441820253367e-06
2018-03-14,8.439481117996342e-06
2018-03-15,8.439515495660262e-06
2018-03-16,8.439449783406787e-06
2018-03-17,8.43943435487107e-06
2018-03-18,8.439329562487638e-06
2018-03-19,8.43925092488867e-06
2018-03-20,8.439090867825444e-06
2018-03-21,8.439383738220775e-06
2018-03-22,8.439253297354967e-06
2018-03-23,8.439278496083872e-06
2018-03-24,8.439214482681214e-06
2018-03-25,8.439170351266176e-06
2018-03-26,8.439176174621768e-06
2018-03-27,8.439213619529587e-06
2018-03-28,8.439158912222873e-06
2018-03-29,8.439149681844962e-06
2018-03-30,8.43917768471699e-06
2018-03-31,8.439186188865695e-06
2018-04-01,8.439298100856528e-06
2018-04-02,8.439259524535488e-06
2018-04-03,8.43923288283415e-06
2018-04-04,8.439160623553324e-06
2018-04-05,8.43922537507712e-06
2018-04-06,8.439198597045667e-06
2018-04-07,8.43919172777474e-06
2018-04-08,8.439227196244863e-06
2018-04-09,8.439207179024487e-06
2018-04-10,8.439190221513398e-06
2018-04-11,8.439170397226855e-06
2018-04-12,8.439128403630722e-06
2018-04-13,8.439118434015941e-06
2018-04-14,8.439051732450844e-06
2018-04-15,8.439061402976862e-06
2018-04-16,8.438941631145417e-06
2018-04-17,8.43892009034006e-06
2018-04-18,8.43892410116447e-06
2018-04-19,8.438967108062688e-06
2018-04-20,8.43889156555951e-06
2018-04-21,8.438863645072339e-06
2018-04-22,8.438857719032973e-06
2018-04-23,8.43918296130122e-06
2018-04-24,8.439148749954342e-06
2018-04-25,8.439199341966782e-06
2018-04-26,8.439296506732695e-06
2018-04-27,8.439234247779033e-06
2018-04-28,8.439157762797297e-06
2018-04-29,8.439117483571169e-06
2018-04-30,8.438997522552535e-06
2018-05-01,8.438986727991803e-06
2018-05-02,8.439007704628698e-06
2018-05-03,8.438969090836622e-06
2018-05-04,8.438991196848116e-06
2018-05-05,8.438959863475306e-06
2018-05-06,8.43891540866882e-06
2018-05-07,8.438516168841924e-06
2018-05-08,8.438389708574848e-06
2018-05-09,8.438384377512752e-06
2018-05-10,8.438481288535321e-06
2018-05-11,8.438371705079544e-06
2018-05-12,8.438414889199557e-06
2018-05-13,8.438261787203592e-06
2018-05-14,8.438191676233194e-06
2018-05-15,8.43810562914397e-06
2018-05-16,8.43808271553771e-06
2018-05-17,8.438025758302019e-06
2018-05-18,8.437913482620352e-06
2018-05-19,8.43783294207026e-06
2018-05-20,8.43781193305428e-06
2018-05-21,8.437789106865133e-06
2018-05-22,8.43770937614586e-06
2018-05-23,8.437817660021004e-06
2018-05-24,8.437636222261797e-06
2018-05-25,8.437522186814196e-06
2018-05-26,8.437386631952928e-06
2018-05-27,8.437323968467249e-06
2018-05-28,8.437181040246055e-06
2018-05-29,8.437293498966923e-06
2018-05-30,8.436715126017236e-06
2018-05-31,8.436591223193263e-06
2018-06-01,8.436511413473044e-06
2018-06-02,8.436509738888183e-06
2018-06-03,8.436439559569065e-06
2018-06-04,8.436384311905289e-06
2018-06-05,8.436321044539467e-06
2018-06-06,8.436244510961544e-06
2018-06-07,8.436180739975056e-06
2018-06-08,8.436138789515843e-06
2018-06-09,8.436139106630745e-06
2018-06-10,8.43610255551347e-06
2018-06-11,8.436107882838104e-06
2018-06-12,8.436148258067409e-06
2018-06-13,8.436138237689266e-06
2018-06-14,8.436143984403937e-06
2018-06-15,8.436064040323346e-06
2018-06-16,8.436061900791822e-06
2018-06-17,8.436031315191429e-06
2018-06-18,8.43632101012176e-06
2018-06-19,8.436310415349936e-06
2018-06-20,8.43643870835528e-06
2018-06-21,8.436418989052841e-06
2018-06-22,8.436424582706057e-06
2018-06-23,8.436375475893863e-06
2018-06-24,8.436374225423663e-06
2018-06-25,8.436341749269136e-06
2018-06-26,8.436368882249254e-06
2018-06-27,8.436354301538817e-06
2018-06-28,8.436333878050844e-06
2018-06-29,8.436340605509438e-06
2018-06-30,8.436344861211054e-06
2018-07-01,8.436319785267408e-06
2018-07-02,8.436179203460475e-06
2018-07-03,8.436098661487031e-06
2018-07-04,8.435991154581498e-06
2018-07-05,8.435953066862407e-06
2018-07-06,8.435838746821335e-06
2018-07-07,8.43586053640665e-06
2018-07-08,8.435941453058337e-06
2018-07-09,8.435935127932447e-06
2018-07-10,8.43592100685174e-06
2018-07-11,8.435929033050722e-06
2018-07-12,8.435887887261501e-06
2018-07-13,8.435851428327295e-06
2018-07-14,8.435729530825996e-06
2018-07-15,8.43569799024904e-06
2018-07-16,8.435667037257079e-06
2018-07-17,8.43561236170502e-06
2018-07-18,8.435531148480697e-06
2018-07-19,8.435533622863997e-06
2018-07-20,8.435710715617376e-06
2018-07-21,8.435707290412805e-06
2018-07-22,8.435676646078244e-06
2018-07-23,8.435648954081299e-06
2018-07-24,8.435724312034676e-06
2018-07-25,8.435712833541416e-06
2018-07-26,8.435676388726e-06
2018-07-27,8.435616585674948e-06
2018-07-28,8.435594813225016e-06
2018-07-29,8.435581559451224e-06
2018-07-30,8.435583258228575e-06
2018-07-31,8.435547846251975e-06
2018-08-01,8.435452975057022e-06
2018-08-02,8.435465886775013e-06
2018-08-03,8.43549168228105e-06
2018-08-04,8.435463859183684e-06
2018-08-05,8.435449095562602e-06
2018-08-06,8.435429621151146e-06
2018-08-07,8.435401427700708e-06
2018-08-08,8.437160538891236e-06
2018-08-09,8.437178107027349e-06
2018-08-10,8.437183925649126e-06
2018-08-11,8.437214146061864e-06
2018-08-12,8.437197158334268e-06
2018-08-13,8.437274628876388e-06
2018-08-14,8.437424531504139e-06
2018-08-15,8.437413847956119e-06
2018-08-16,8.437372479797114e-06
2018-08-17,8.437278009979833e-06
2018-08-18,8.437234226901737e-06
2018-08-19,8.437138340223746e-06
2018-08-20,8.437112217019459e-06
2018-08-21,8.437061724513497e-06
2018-08-22,8.437053622114374e-06
2018-08-23,8.437075091490137e-06
2018-08-24,8.43710685761418e-06
2018-08-25,8.43727146166228e-06
2018-08-26,8.43730868541246e-06
2018-08-27,8.437450316353357e-06
2018-08-28,8.437427515077564e-06
2018-08-29,8.437420005483943e-06
2018-08-30,8.437386158222771e-06
2018-08-31,8.43741605907335e-06
2018-09-01,8.43742974170021e-06
2018-09-02,8.437450220749639e-06
2018-09-03,8.437453426357674e-06
2018-09-04,8.437469880211364e-06
2018-09-05,8.43748864465662e-06
2018-09-06,8.437503157188226e-06
2018-09-07,8.437596883457245e-06
2018-09-08,8.437634766125598e-06
